lon_bin,lat_bin,date_year,day_of_year_sin,day_of_year_cos,week_of_year_sin,week_of_year_cos,tavg,tmin,tmax,prcp,snow,Unemployment_Rate(%),Unemployment_Rank,CPI(Annual),Nearest Station,Distance (km)
-97.925,31.125,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,18.5,17.4,20.3,14.9,,,,,South Central Division,201.8464720573
-97.925,31.175,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,18.5,17.4,20.3,14.9,,,,,South Central Division,197.1419117831
-97.925,31.225,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,18.5,17.4,20.3,14.9,,,,,South Central Division,192.4829454849
-97.925,31.275,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,18.5,16.3,20.4,10.7,,,,,South Central Division,187.8729651793
-97.925,31.325,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,18.5,16.3,20.4,10.7,,,,,South Central Division,183.3156665693
-97.925,31.375,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,18.5,16.3,20.4,10.7,,,,,Southwest Patrol Division,178.6662845354
-97.925,31.425,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,18.5,16.3,20.4,10.7,,,,,Southwest Patrol Division,174.0229948774
-97.925,31.475,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,18.5,16.3,20.4,10.7,,,,,Southwest Patrol Division,169.4348873348
-97.925,31.525,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,18.5,16.3,20.4,10.7,,,,,Southwest Patrol Division,164.9065678797
-97.925,31.575,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,18.5,16.3,20.4,10.7,,,,,Southwest Patrol Division,160.4430989394
-97.925,31.625,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,18.1,15.6,20.6,9.5,,,,,Southwest Patrol Division,156.0500453333
-97.925,31.675,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,18.1,15.6,20.6,9.5,,,,,Southwest Patrol Division,151.7335232691
-97.925,31.725,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,18.1,15.6,20.6,9.5,,,,,Southwest Patrol Division,147.5002518733
-97.925,31.775,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,18.1,15.6,20.6,9.5,,,,,Southwest Patrol Division,143.3576063756
-97.925,31.825,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,18.1,15.6,20.6,9.5,,,,,Southwest Patrol Division,139.3136715934
-97.925,31.875,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,18.1,15.6,20.6,9.5,,,,,Southwest Patrol Division,135.3772937535
-97.925,31.925,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,18.1,15.6,20.6,9.5,,,,,Southwest Patrol Division,131.5581279108
-97.925,31.975,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.8,15.4,25.4,1.8,,,,,Southwest Patrol Division,127.8666772812
-97.925,32.025,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.8,15.4,25.4,1.8,,,,,Southwest Patrol Division,124.3143197011
-97.925,32.075,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.8,15.4,25.4,1.8,,,,,Southwest Patrol Division,120.9133151924
-97.925,32.125,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.8,15.4,25.4,1.8,,,,,Southwest Patrol Division,117.6767873595
-97.925,32.175,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.8,15.4,25.4,1.8,,,,,Southwest Patrol Division,114.618670207
-97.925,32.225,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.8,15.4,25.4,1.8,,,,,Southwest Patrol Division,111.7536112223
-97.925,32.275,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.1,15.6,22.7,9.0,,,,,Southwest Patrol Division,109.0968215249
-97.925,32.325,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.1,15.6,22.7,9.0,,,,,Southwest Patrol Division,106.6638650008
-97.925,32.375,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.1,15.6,22.7,9.0,,,,,Southwest Patrol Division,104.4703810247
-97.925,32.425,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.1,15.6,22.7,9.0,,,,,Southwest Patrol Division,102.531740015
-97.925,32.475,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.1,15.6,22.7,9.0,,,,,Southwest Patrol Division,100.862637751
-97.925,32.525,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.1,15.6,22.7,9.0,,,,,Southwest Patrol Division,99.4766427972
-97.925,32.575,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.1,15.6,22.7,9.0,,,,,Southwest Patrol Division,98.3857205842
-97.925,32.625,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.4,15.3,24.9,3.4,,,,,Southwest Patrol Division,97.5997661477
-97.925,32.675,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.4,15.3,24.9,3.4,,,,,Southwest Patrol Division,97.1261832561
-97.925,32.725,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.4,15.3,24.9,3.4,,,,,Southwest Patrol Division,96.9695487267
-97.925,32.775,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.4,15.3,24.9,3.4,,,,,Southwest Patrol Division,97.1313959089
-97.925,32.825,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.4,15.3,24.9,3.4,,,,,Southwest Patrol Division,97.6101405937
-97.925,32.875,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.4,15.3,24.9,3.4,,,,,Northwest Operations Division,97.6680076008
-97.925,32.925,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.4,15.3,24.9,3.4,,,,,Northwest Operations Division,97.9247197543
-97.925,32.975,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,21.2,17.4,27.2,0.0,,,,,Northwest Operations Division,98.4950683349
-97.925,33.025,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,21.2,17.4,27.2,0.0,,,,,Northwest Operations Division,99.3736532019
-97.925,33.075,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,21.2,17.4,27.2,0.0,,,,,Northwest Operations Division,100.5523949599
-97.925,33.125,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,21.2,17.4,27.2,0.0,,,,,Northwest Operations Division,102.0208901681
-97.925,33.175,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,21.2,17.4,27.2,0.0,,,,,Northwest Operations Division,103.7668378927
-97.925,33.225,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,21.2,17.4,27.2,0.0,,,,,Northwest Operations Division,105.7765001257
-97.925,33.275,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,21.2,17.4,27.2,0.0,,,,,Northwest Operations Division,108.0351610747
-97.925,33.325,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,21.2,17.4,27.2,0.0,,,,,Northwest Operations Division,110.5275567223
-97.925,33.375,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,21.2,17.4,27.2,0.0,,,,,Northwest Operations Division,113.2382544838
-97.925,33.425,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,16.9,25.1,0.6,,,,,Northwest Operations Division,116.1519714812
-97.925,33.475,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,16.9,25.1,0.6,,,,,North Central Division,119.2190082364
-97.925,33.525,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,16.9,25.1,0.6,,,,,North Central Division,121.8183640022
-97.925,33.575,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,16.9,25.1,0.6,,,,,North Central Division,124.6116828016
-97.925,33.625,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,16.9,25.1,0.6,,,,,North Central Division,127.586225637
-97.925,33.675,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,16.9,25.1,0.6,,,,,North Central Division,130.7296227068
-97.925,33.725,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,16.9,25.1,0.6,,,,,North Central Division,134.0299941539
-97.925,33.775,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,16.9,25.1,0.6,,,,,North Central Division,137.4760350451
-97.925,33.825,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,16.9,25.1,0.6,,,,,North Central Division,141.0570696191
-97.925,33.875,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,16.9,25.1,0.6,,,,,North Central Division,144.7630801215
-97.925,33.925,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,16.9,25.1,0.6,,,,,North Central Division,148.5847153708
-97.925,33.975,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,16.9,25.1,0.6,,,,,North Central Division,152.5132837368
-97.925,34.025,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,16.9,25.1,0.6,,,,,North Central Division,156.5407346005
-97.925,34.075,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,15.1,25.3,0.0,,,,,North Central Division,160.6596317093
-97.925,34.125,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,15.1,25.3,0.0,,,,,North Central Division,164.8631211983
-97.925,34.175,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,15.1,25.3,0.0,,,,,North Central Division,169.1448964647
-97.925,34.225,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,15.1,25.3,0.0,,,,,North Central Division,173.4991615751
-97.925,34.275,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.7,15.1,27.2,0.0,,,,,North Central Division,177.9205944594
-97.925,34.325,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.7,15.1,27.2,0.0,,,,,North Central Division,182.4043107949
-97.925,34.375,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.7,15.1,27.2,0.0,,,,,North Central Division,186.9458292085
-97.925,34.425,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.7,15.1,27.2,0.0,,,,,North Central Division,191.5410382097
-97.925,34.475,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.7,15.1,27.2,0.0,,,,,North Central Division,196.1861650993
-97.925,34.525,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.7,15.1,27.2,0.0,,,,,North Central Division,200.877746981
-97.925,34.575,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.7,15.1,27.2,0.0,,,,,North Central Division,205.6126039077
-97.925,34.625,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.7,15.1,27.2,0.0,,,,,North Central Division,210.3878141359
-97.925,34.675,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.7,15.1,27.2,0.0,,,,,North Central Division,215.2006914152
-97.925,34.725,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.7,15.1,25.8,0.2,,,,,North Central Division,220.048764213
